"Match#","Time","Autonomous","Teleop","Status","Team #","Team Position","Joystick Sent","Joystick Lost","Joystick Disc","NXT Disconnects","NXT Volt Start","NXT Volt End","Robot Volt Start","Robot Volt End","Teleop Name","Initial Program","Notes","Freq NXT Volt Critical","Freq NXT Volt Error","Freq NXT Volt Warn","Freq NXT Volt Safe","NXT Volt Min","NXT Volt Max"
"1","11-Oct-2014 11:03:34 AM","00:30","02:00","Halted","8492","Red Team 1",414,0,0,0,"7.528V","7.512V","12.376V","12.332V","teleop.rxe","AutonomousDraft.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","454","12.306V","12.542V"
"1","11-Oct-2014 12:00:21 PM","00:30","02:00","Halted","8492","Red Team 1",47,0,0,0,"7.469V","7.469V","11.020V","11.020V","teleop.rxe","","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","0","6.430V","12.542V"
"1","11-Oct-2014 12:02:49 PM","00:30","02:00","Halted","8492","Red Team 1",643,1058,0,0,"7.469V","7.361V","11.020V","12.299V","teleop.rxe","","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","-1","-17112","12.282V","12.395V"
"1","11-Oct-2014 12:04:03 PM","00:30","02:00","Halted","8492","Red Team 1",642,0,0,0,"7.376V","7.368V","12.226V","10.874V","teleop.rxe","","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","9578","2867","10.089V","12.395V"
"1","11-Oct-2014 12:15:36 PM","00:30","02:00","Halted","8492","Red Team 1",26,0,0,0,"7.362V","7.362V","10.877V","10.852V","teleop.rxe","","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","32","0","10.089V","12.395V"
"1","11-Oct-2014 12:21:21 PM","00:30","02:00","Halted","8492","Red Team 1",644,0,0,0,"7.363V","7.363V","10.821V","10.792V","teleop.rxe","AutonomousDraft.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","1093","0","9.293V","12.395V"
"1","11-Oct-2014 12:22:13 PM","00:30","02:00","Halted","8492","Red Team 1",186,0,0,0,"7.354V","7.362V","10.806V","10.790V","teleop.rxe","","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","209","0","9.293V","12.395V"
"1","11-Oct-2014 12:22:27 PM","00:30","02:00","Halted","8492","Red Team 1",642,0,0,0,"7.361V","7.360V","10.807V","10.778V","teleop.rxe","","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","1082","0","9.273V","12.395V"
"1","11-Oct-2014 12:23:23 PM","00:30","02:00","Halted","8492","Red Team 1",642,0,0,0,"7.361V","7.359V","10.794V","10.778V","teleop.rxe","","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","879","0","9.229V","12.395V"
"1","11-Oct-2014 12:25:03 PM","00:30","02:00","Halted","8492","Red Team 1",615,3405,"00:37",0,"7.350V","7.347V","10.779V","10.778V","teleop.rxe","","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","-21998","-3670","10.735V","10.824V"
"1","11-Oct-2014 12:27:10 PM","00:30","02:00","Halted","8492","Red Team 1",115,0,0,0,"7.349V","7.354V","10.766V","10.756V","teleop.rxe","","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","179","0","9.223V","10.824V"
"1","11-Oct-2014 12:30:38 PM","00:30","02:00","Halted","8492","Red Team 1",257,0,0,0,"7.355V","7.361V","10.746V","10.738V","teleop.rxe","","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","313","0","9.318V","10.795V"
"1","11-Oct-2014 12:33:27 PM","00:30","02:00","Halted","171275","Red Team 1",636,0,0,0,"7.358V","7.358V","10.741V","10.741V","teleop.rxe","AutonomousDraft.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","703","0","9.308V","10.780V"
"1","11-Oct-2014 12:34:35 PM","00:30","02:00","Halted","8492","Red Team 1",64,0,0,0,"7.354V","7.354V","10.736V","10.736V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","738","0","9.308V","10.780V"
"1","11-Oct-2014 12:34:47 PM","00:30","02:00","Halted","171275","Red Team 1",643,0,0,0,"7.359V","7.359V","10.726V","10.726V","teleop.rxe","AutonomousDraft.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","18329","0","9.248V","10.774V"
"1","11-Oct-2014 12:50:39 PM","00:30","02:00","Halted","8492","Red Team 1",644,0,0,0,"7.347V","7.343V","10.655V","10.625V","teleop.rxe","AutonomousDraft.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","776","0","9.118V","10.718V"
"1","11-Oct-2014 12:51:25 PM","00:30","02:00","Halted","8492","Red Team 1",458,0,0,0,"7.342V","7.342V","10.631V","10.627V","teleop.rxe","AutonomousDraft.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 Disabled","0","0","477","0","9.118V","10.718V"
"1","11-Oct-2014 01:51:37 PM","No Autonomous","02:00","Halted","8492","Red Team 1",256,0,0,0,"8.656V","8.650V","13.833V","13.817V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","334","13.789V","13.878V"
"1","11-Oct-2014 01:52:18 PM","No Autonomous","02:00","Halted","8492","Red Team 1",162,0,0,0,"8.648V","8.633V","13.819V","13.805V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","244","13.777V","13.868V"
"1","15-Oct-2014 06:41:43 PM","00:30","02:00","Halted","8492","Red Team 1",158,0,0,0,"8.054V","8.046V","13.739V","13.713V","teleop.rxe","AutonomousDraft.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","183","12.372V","13.785V"
"1","15-Oct-2014 06:42:11 PM","No Autonomous","02:00","Halted","8492","Red Team 1",419,0,0,0,"8.048V","8.053V","13.735V","13.719V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","481","12.372V","13.785V"
"1","15-Oct-2014 06:47:03 PM","No Autonomous","02:00","Halted","8492","Red Team 1",757,0,0,0,"8.033V","8.020V","13.712V","13.684V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","804","13.657V","13.750V"
"1","15-Oct-2014 06:52:59 PM","No Autonomous","02:00","Halted","8492","Red Team 1",98,0,0,0,"7.992V","7.997V","13.682V","13.430V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","183","12.290V","13.717V"
"1","15-Oct-2014 06:53:47 PM","No Autonomous","02:00","Halted","8492","Red Team 1",84,0,0,0,"7.963V","7.952V","13.612V","13.479V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","104","11.910V","13.684V"
"1","15-Oct-2014 06:54:04 PM","No Autonomous","02:00","Halted","8492","Red Team 1",139,0,0,0,"7.958V","7.958V","13.642V","13.642V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","100","11.778V","13.680V"
"1","15-Oct-2014 07:17:38 PM","No Autonomous","02:00","Halted","8492","Red Team 1",1765,0,0,0,"7.862V","7.878V","13.983V","13.910V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","1674","12.047V","14.043V"
"1","15-Oct-2014 07:20:36 PM","No Autonomous","02:00","Played","8492","Red Team 1",2565,0,0,0,"7.855V","7.879V","13.897V","13.728V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","2451","11.253V","13.930V"
"1","15-Oct-2014 07:23:00 PM","No Autonomous","02:00","Halted","8492","Red Team 1",1563,0,0,0,"7.828V","7.855V","13.804V","13.718V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","1549","11.539V","13.847V"
"1","15-Oct-2014 07:29:38 PM","00:30","02:00","Halted","8492","Red Team 1",601,0,0,0,"7.826V","7.824V","13.763V","13.741V","teleop.rxe","AutonomousDraft.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","609","11.995V","13.804V"
"1","15-Oct-2014 07:31:02 PM","00:30","02:00","Halted","8492","Red Team 1",645,0,0,0,"7.825V","7.819V","13.752V","13.716V","teleop.rxe","AutonomousDraft.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","3084","12.034V","13.789V"
"1","18-Oct-2014 12:28:45 PM","No Autonomous","02:00","Halted","8492","Red Team 1",373,0,0,0,"7.893V","7.874V","14.038V","13.937V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","414","13.183V","14.080V"
"1","18-Oct-2014 12:31:01 PM","No Autonomous","02:00","Halted","8492","Red Team 1",470,0,0,0,"7.875V","7.865V","13.988V","13.874V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","477","12.929V","14.035V"
"1","18-Oct-2014 12:32:37 PM","No Autonomous","02:00","Halted","8492","Red Team 1",422,0,0,0,"7.857V","7.841V","13.931V","13.819V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","491","12.418V","13.977V"
"2-SUB","18-Oct-2014 12:39:23 PM","No Autonomous","02:00","Halted","8492","Red Team 1",1621,0,0,0,"7.799V","7.793V","13.802V","13.476V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 Disabled","0","0","0","1580","12.686V","13.876V"
"1","18-Oct-2014 12:41:40 PM","No Autonomous","02:00","Halted","8492","Red Team 1",820,0,0,0,"7.793V","7.757V","13.797V","13.766V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 Disabled","0","0","0","801","12.688V","13.843V"
"1","18-Oct-2014 12:44:40 PM","No Autonomous","02:00","Halted","8492","Red Team 1",1588,0,0,0,"7.771V","7.778V","13.739V","13.725V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","1536","12.612V","13.802V"
"1","18-Oct-2014 12:51:59 PM","No Autonomous","02:00","Halted","8492","Red Team 1",1044,0,0,0,"7.735V","7.745V","13.681V","13.667V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","1025","12.554V","13.740V"
"1","18-Oct-2014 12:53:37 PM","No Autonomous","02:00","Halted","8492","Red Team 1",495,0,0,0,"7.749V","7.743V","13.664V","13.663V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","540","12.603V","13.715V"
"1","18-Oct-2014 01:16:55 PM","No Autonomous","02:00","Halted","8492","Red Team 1",433,0,0,0,"7.728V","7.710V","13.504V","13.493V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","452","12.459V","13.546V"
"1","18-Oct-2014 01:19:17 PM","No Autonomous","02:00","Halted","8492","Red Team 1",1297,0,0,0,"7.715V","7.703V","13.507V","13.481V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","1275","12.498V","13.544V"
"1","18-Oct-2014 01:32:13 PM","No Autonomous","02:00","Played","8492","Red Team 1",2514,0,0,14,"7.704V","7.704V","13.434V","13.434V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","2002","12.523V","13.486V"
"1","18-Oct-2014 01:37:10 PM","No Autonomous","02:00","Played","8492","Red Team 1",2566,0,0,0,"7.685V","7.682V","13.445V","13.399V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","2447","11.684V","13.482V"
"1","18-Oct-2014 01:42:32 PM","No Autonomous","02:00","Halted","8492","Red Team 1",905,0,0,0,"7.688V","7.704V","13.387V","13.383V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","872","13.350V","13.441V"
"1","18-Oct-2014 01:45:17 PM","No Autonomous","02:00","Halted","8492","Red Team 1",1185,0,0,0,"7.699V","7.702V","13.372V","13.359V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","1144","11.640V","13.424V"
"1","19-Oct-2014 12:59:31 PM","No Autonomous","02:00","Halted","8492","Red Team 1",951,0,0,0,"7.824V","7.806V","13.325V","13.294V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","922","12.113V","13.408V"
"1","19-Oct-2014 01:13:08 PM","No Autonomous","02:00","Played","8492","Red Team 1",2536,0,0,0,"7.718V","7.702V","13.203V","13.101V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","2440","11.409V","13.243V"
"1","19-Oct-2014 01:31:13 PM","No Autonomous","02:00","Halted","8492","Red Team 1",972,0,0,0,"7.657V","7.668V","13.121V","13.130V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","965","10.813V","13.189V"
"1","19-Oct-2014 01:33:18 PM","No Autonomous","02:00","Halted","8492","Red Team 1",683,0,0,0,"7.654V","7.662V","13.098V","13.095V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","699","13.070V","13.169V"
"1","19-Oct-2014 01:35:05 PM","No Autonomous","02:00","Halted","8492","Red Team 1",521,0,0,0,"7.655V","7.654V","13.082V","13.089V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","523","11.597V","13.154V"
"1","19-Oct-2014 01:41:55 PM","No Autonomous","02:00","Halted","8492","Red Team 1",688,0,0,0,"7.644V","7.650V","13.078V","13.046V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","674","13.018V","13.117V"
"1","19-Oct-2014 01:43:47 PM","No Autonomous","02:00","Halted","8492","Red Team 1",294,1,0,0,"7.643V","7.654V","13.052V","13.042V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","284","13.016V","13.119V"
"1","19-Oct-2014 01:44:40 PM","No Autonomous","02:00","Halted","8492","Red Team 1",1358,0,0,0,"7.643V","7.654V","13.058V","13.038V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","1312","13.004V","13.111V"
"1","19-Oct-2014 01:47:08 PM","No Autonomous","02:00","Played","8492","Red Team 1",2554,0,0,14,"7.646V","7.646V","13.018V","13.018V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","12","12.956V","13.035V"
"1","19-Oct-2014 01:50:45 PM","No Autonomous","02:00","Halted","8492","Red Team 1",703,0,0,0,"7.648V","7.643V","12.991V","12.988V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","664","11.426V","13.059V"
"2-SUB","19-Oct-2014 01:53:18 PM","No Autonomous","02:00","Halted","8492","Red Team 1",1136,0,0,0,"7.638V","7.639V","13.000V","13.007V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","1151","11.399V","13.059V"
"1","19-Oct-2014 02:10:07 PM","No Autonomous","02:00","Halted","8492","Red Team 1",1865,0,0,51,"7.632V","7.632V","12.943V","12.943V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","14","12.925V","12.993V"
"1","19-Oct-2014 02:11:44 PM","No Autonomous","02:00","Halted","8492","Red Team 1",651,0,0,0,"7.624V","7.632V","12.964V","12.936V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 Disabled","0","0","0","653","11.236V","13.008V"
"1","19-Oct-2014 02:12:57 PM","No Autonomous","02:00","Played","8492","Red Team 1",2548,0,0,0,"7.623V","7.629V","12.932V","12.943V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","2455","12.900V","13.008V"
"1","19-Oct-2014 02:17:00 PM","No Autonomous","02:00","Halted","8492","Red Team 1",1810,0,0,0,"7.630V","7.632V","12.950V","12.931V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","1720","11.267V","13.006V"
"1","19-Oct-2014 02:22:08 PM","No Autonomous","02:00","Halted","8492","Red Team 1",778,0,0,0,"7.619V","7.627V","12.940V","12.930V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","768","11.298V","12.977V"
"1","19-Oct-2014 02:24:33 PM","No Autonomous","02:00","Halted","8492","Red Team 1",2004,1983,0,20,"7.620V","7.627V","12.933V","12.927V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","18","12.892V","12.977V"
"1","19-Oct-2014 02:26:23 PM","No Autonomous","02:00","Halted","8492","Red Team 1",1079,0,0,0,"7.624V","7.625V","12.934V","12.928V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","1108","12.735V","12.975V"
"1","19-Oct-2014 02:28:19 PM","No Autonomous","02:00","Halted","8492","Red Team 1",1199,0,0,0,"7.619V","7.621V","12.910V","12.891V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","1178","11.281V","12.962V"
"1","19-Oct-2014 02:29:56 PM","No Autonomous","02:00","Played","8492","Red Team 1",2566,0,0,0,"7.616V","7.631V","12.925V","12.919V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","2448","11.288V","12.971V"
"1","19-Oct-2014 02:32:40 PM","No Autonomous","02:00","Played","8492","Red Team 1",2565,0,0,0,"7.619V","7.627V","12.930V","12.899V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","2456","11.302V","12.973V"
"1","19-Oct-2014 03:04:32 PM","00:30","02:00","Halted","8492","Red Team 1",93,1,0,0,"7.618V","7.618V","12.917V","12.912V","teleop.rxe","teleop.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","89","12.874V","12.971V"
"1","19-Oct-2014 03:04:49 PM","00:30","02:00","Halted","8492","Red Team 1",420,0,0,0,"7.607V","7.614V","12.916V","12.895V","teleop.rxe","AutonomousDraft.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","421","11.828V","12.971V"
"1","19-Oct-2014 03:05:59 PM","00:30","02:00","Halted","8492","Red Team 1",39,0,0,0,"7.617V","7.617V","12.911V","12.893V","teleop.rxe","","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","59","12.865V","12.952V"
"1","19-Oct-2014 03:06:06 PM","00:30","02:00","Halted","8492","Red Team 1",259,0,0,0,"7.619V","7.606V","12.886V","12.902V","teleop.rxe","","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","291","11.302V","12.952V"
"1","19-Oct-2014 03:06:58 PM","00:30","02:00","Halted","8492","Red Team 1",565,0,0,0,"7.605V","7.614V","12.889V","12.875V","teleop.rxe","AutonomousDraft.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","543","11.286V","12.938V"
"1","19-Oct-2014 03:10:44 PM","00:30","02:00","Halted","8492","Red Team 1",306,1,0,0,"7.609V","7.614V","12.869V","12.861V","teleop.rxe","AutonomousDraft.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","326","11.331V","12.927V"
"1","19-Oct-2014 03:11:49 PM","00:30","02:00","Halted","8492","Red Team 1",474,1,0,0,"7.606V","7.615V","12.894V","12.868V","teleop.rxe","AutonomousDraft.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","474","11.387V","12.929V"
"1","19-Oct-2014 03:12:51 PM","00:30","02:00","Halted","8492","Red Team 1",347,0,0,0,"7.613V","7.611V","12.866V","12.879V","teleop.rxe","AutonomousDraft.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","397","11.372V","12.929V"
"1","19-Oct-2014 03:13:46 PM","00:30","02:00","Halted","8492","Red Team 1",645,0,0,0,"7.614V","7.611V","12.886V","12.883V","teleop.rxe","AutonomousDraft.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","1030","11.397V","12.925V"
"1","19-Oct-2014 03:23:21 PM","00:30","02:00","Halted","8492","Red Team 1",645,0,0,0,"7.609V","7.613V","12.876V","12.864V","teleop.rxe","AutonomousDraft.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","677","11.397V","12.925V"
"1","19-Oct-2014 03:23:56 PM","00:30","02:00","Halted","8492","Red Team 1",40,0,0,0,"7.603V","7.603V","12.869V","12.859V","teleop.rxe","","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","53","11.397V","12.925V"
"1","19-Oct-2014 03:24:11 PM","00:30","02:00","Halted","8492","Red Team 1",645,0,0,0,"7.608V","7.616V","12.872V","12.864V","teleop.rxe","AutonomousDraft.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","1024","11.393V","12.925V"
"1","19-Oct-2014 03:25:12 PM","00:30","02:00","Halted","8492","Red Team 1",553,1,0,0,"7.615V","7.612V","12.837V","12.858V","teleop.rxe","AutonomousDraft.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","547","11.378V","12.925V"
"1","19-Oct-2014 03:26:18 PM","00:30","02:00","Halted","8492","Red Team 1",399,0,0,0,"7.607V","7.608V","12.877V","12.853V","teleop.rxe","AutonomousDraft.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","388","11.403V","12.927V"
"1","19-Oct-2014 03:26:45 PM","00:30","02:00","Halted","8492","Red Team 1",569,0,0,0,"7.609V","7.611V","12.869V","12.845V","teleop.rxe","AutonomousDraft.rxe","P1.124 F9.68 SV2.02/Sep  9 2011 ","0","0","0","598","11.366V","12.936V"
